timestamp,src,dst,protoc,len
2019-06-23 18:55:51.606981,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.635266,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.636893,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.638410,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.639399,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.640335,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.641481,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.642376,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.643212,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.644036,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.644915,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.645964,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:51.646925,172.24.237.242,224.0.0.251,DNS,126
2019-06-23 18:55:52.167969,172.24.237.194,172.24.239.255,NBNS query request,92
2019-06-23 18:55:52.169260,172.24.237.194,172.24.239.255,NBNS query request,92
2019-06-23 18:55:52.170319,172.24.237.194,172.24.239.255,NBNS query request,92
2019-06-23 18:55:52.171153,172.24.237.194,172.24.239.255,NBNS query request,92
2019-06-23 18:55:52.171775,172.24.237.194,172.24.239.255,NBNS query request,92
